Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,6468.090000000002,77617.08,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),,VPN Connection,0,347.5,4170.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (1), Number of subnet associations (2)"
Reduced_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,66.6,799.20,USD,,Number of NAT Gateways (2)
Reduced_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon CloudFront,0,870.4,10444.80,USD,,Data transfer out to internet (10 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),Application Servers (Private Subnets),Amazon EC2 ,0,1172.52,14070.24,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5a.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),Web Servers (Public Subnets),Amazon EC2 ,0,1172.52,14070.24,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5a.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,1293.52,15522.24,USD,,"Storage amount (512 GB), Storage volume (General Purpose SSD (gp2)), Nodes (1), Instance Type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (512 GB)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,1293.52,15522.24,USD,,"Storage amount (512 GB), Storage volume (General Purpose SSD (gp2)), Nodes (1), Instance Type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (512 GB), Number of hours running on Amazon RDS Extended Support (0 per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,44.96,539.52,USD,,Number of Application Load Balancers (2)
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of domains stored (1), Number of Elastic Network Interfaces (2)"
Reduced_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,23.55,282.60,USD,,S3 Standard storage (1 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
Reduced_Cost_Estimate,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
